ajm.overview, "Music composition (AJM tools)";
ajm.midi.programs, "Midi programs for the AJM tools";
analyzer~help, "FFT-Based Perceptual Analysis (Pitch, Loudness, Brightness, Noisiness)";
forbidden~planet, "White, pink noise + filters";
threshold_help~, "outputs bangs when the signal exceeds a specified value";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
+CNMAT_MMJD_Overview, "A depot of patches for Max/MSP/Jitter (CNMAT)";
01-sinewaves, "generates as many as 256 sine waves";
02-sinusoids~, "generates as many as 1024 sine waves";
03-decaying-sinusoids~, "generates sine waves that exponentially decay down to zero amplitude";
04-resonators~, "resonant filter bank";
14-res-transform, "transformations for Resonance Models";
34-harmonics~, "harmonics~ generates a number of harmonically related sinusoidal oscillators";
35-oscillators~, "oscillators~ works very much like sinusoids~";
smooth-biquad~, "Two-pole, two-zero filter (CNMAT version, smoothed)";
sadam.rand~, "Band-limited random signal";
sc.crackle, "A noise generator based on a chaotic function";
sc.dust, "Generates random impulses from 0 to +1";
sc.dust2, "Generates random impulses from -1. to +1";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
bargraf~, "Draws and calculate the signal level";
sfmarkers~, "Returns the list of markers in a .wav or .aiff sound file";
msg.surround, "surround object";
jscope_help~, "signal-oscilloscope using jitter";
ÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐÐ,"";
buffer, "the buffer~ object";
GLbuffer~, "show buffer~ data in OpenGL";
1-freeze-frame.maxpat, "freeze frame";
2-stochastic-freeze-8frames, "freeze 8 frames";
